web-scraper-order,web-scraper-start-url,bonds,bonds-href,isin,coupon,issue-date,maturity-date
1704756434-1,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,"Canada, Government of...",https://markets.businessinsider.com/bonds/canadacd-bonds_202325_sq319-Bond-2025-ca135087q319,CA135087Q319,3.75%,2/10/2023,5/1/2025
1704756439-2,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,"Canada, Government of...",https://markets.businessinsider.com/bonds/canadacd-bonds_202326-Bond-2026-ca135087p816,CA135087P816,3.00%,1/20/2023,4/1/2026
1704756443-3,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,"Canada, Government of...",https://markets.businessinsider.com/bonds/canadacd-bonds_202225-Bond-2025-ca135087p659,CA135087P659,3.75%,11/2/2022,2/1/2025
1704756448-4,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,"Canada, Government of...",https://markets.businessinsider.com/bonds/canadacd-bonds_202224-Bond-2024-ca135087p402,CA135087P402,3.00%,8/15/2022,11/1/2024
1704756453-5,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,"Canada, Government of...",https://markets.businessinsider.com/bonds/canadacd-bonds_202225-Bond-2025-ca135087p246,CA135087P246,3.00%,7/25/2022,10/1/2025
1704756458-6,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,"Canada, Government of...",https://markets.businessinsider.com/bonds/canadacd-bonds_202224-Bond-2024-ca135087n910,CA135087N910,2.75%,5/24/2022,8/1/2024
1704756463-7,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,"Canada, Government of...",https://markets.businessinsider.com/bonds/cd-bonds_202224-Bond-2024-ca135087n423,CA135087N423,1.50%,2/22/2022,5/1/2024
1704756468-8,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,"Canada, Government of...",https://markets.businessinsider.com/bonds/canadacd-bonds_202225-Bond-2025-ca135087n340,CA135087N340,1.50%,1/24/2022,4/1/2025
1704756473-9,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,"Canada, Government of...",https://markets.businessinsider.com/bonds/canadacd-bonds_202124-Bond-2024-ca135087m920,CA135087M920,0.75%,10/22/2021,2/1/2024
1704756478-10,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,"Canada, Government of...",https://markets.businessinsider.com/bonds/canadacd-bonds_202124-Bond-2024-ca135087m508,CA135087M508,0.75%,7/12/2021,10/1/2024
1704756484-11,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,"Canada, Government of...",https://markets.businessinsider.com/bonds/canadacd-bonds_202126-Bond-2026-ca135087l930,CA135087L930,1.00%,4/16/2021,9/1/2026
1704756487-12,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,"Canada, Government of...",https://markets.businessinsider.com/bonds/canadacd-bonds_202024-Bond-2024-ca135087l690,CA135087L690,0.25%,10/16/2020,4/1/2024
